Operation,calendarCode,schoolId,schoolYear,calendarTypeDescriptor
CREATE,1,483,2019,School
CREATE,1,476,2019,School
CREATE,1,481,2019,School
CREATE,1,421,2019,School
CREATE,1,457,2019,School
CREATE,1,458,2019,School
CREATE,1,459,2019,School
CREATE,1,460,2019,School
CREATE,1,463,2019,School
CREATE,1,464,2019,School
CREATE,1,468,2019,School
CREATE,1,454,2019,School
CREATE,1,411,2019,School
CREATE,1,412,2019,School
CREATE,1,446,2019,School
CREATE,1,447,2019,School
CREATE,1,470,2019,School
CREATE,1,2,2020,School
CREATE,1,4,2020,School
CREATE,1,5,2020,School
CREATE,1,6,2020,School
CREATE,1,7,2020,School
CREATE,1,8,2020,School
CREATE,1,9,2020,School
CREATE,1,13,2020,School
CREATE,1,14,2020,School
CREATE,1,15,2020,School
CREATE,1,17,2020,School
CREATE,1,18,2020,School
CREATE,1,19,2020,School
CREATE,1,26,2020,School
CREATE,1,27,2020,School
CREATE,1,28,2020,School
CREATE,1,29,2020,School
CREATE,1,30,2020,School
CREATE,1,32,2020,School
CREATE,1,35,2020,School
CREATE,1,36,2020,School
CREATE,1,43,2020,School
CREATE,1,44,2020,School
CREATE,1,45,2020,School
CREATE,1,46,2020,School
CREATE,1,47,2020,School
CREATE,1,51,2020,School
CREATE,1,52,2020,School
CREATE,1,53,2020,School
CREATE,1,54,2020,School
CREATE,1,55,2020,School
CREATE,1,57,2020,School
CREATE,1,58,2020,School
CREATE,1,59,2020,School
CREATE,1,60,2020,School
CREATE,1,61,2020,School
CREATE,1,62,2020,School
CREATE,1,64,2020,School
CREATE,1,65,2020,School
CREATE,1,101,2020,School
CREATE,1,102,2020,School
CREATE,1,103,2020,School
CREATE,1,104,2020,School
CREATE,1,105,2020,School
CREATE,1,106,2020,School
CREATE,1,107,2020,School
CREATE,1,109,2020,School
CREATE,1,110,2020,School
CREATE,1,111,2020,School
CREATE,1,112,2020,School
CREATE,1,113,2020,School
CREATE,1,114,2020,School
CREATE,1,116,2020,School
CREATE,1,117,2020,School
CREATE,1,118,2020,School
CREATE,1,119,2020,School
CREATE,1,121,2020,School
CREATE,1,122,2020,School
CREATE,1,123,2020,School
CREATE,1,124,2020,School
CREATE,1,125,2020,School
CREATE,1,126,2020,School
CREATE,1,127,2020,School
CREATE,1,129,2020,School
CREATE,1,130,2020,School
CREATE,1,132,2020,School
CREATE,1,133,2020,School
CREATE,1,136,2020,School
CREATE,1,138,2020,School
CREATE,1,140,2020,School
CREATE,1,141,2020,School
CREATE,1,143,2020,School
CREATE,1,144,2020,School
CREATE,1,145,2020,School
CREATE,1,146,2020,School
CREATE,1,147,2020,School
CREATE,1,148,2020,School
CREATE,1,149,2020,School
CREATE,1,150,2020,School
CREATE,1,151,2020,School
CREATE,1,152,2020,School
CREATE,1,154,2020,School
CREATE,1,155,2020,School
CREATE,1,156,2020,School
CREATE,1,157,2020,School
CREATE,1,158,2020,School
CREATE,1,159,2020,School
CREATE,1,160,2020,School
CREATE,1,161,2020,School
CREATE,1,162,2020,School
CREATE,1,163,2020,School
CREATE,1,164,2020,School
CREATE,1,165,2020,School
CREATE,1,166,2020,School
CREATE,1,168,2020,School
CREATE,1,170,2020,School
CREATE,1,171,2020,School
CREATE,1,172,2020,School
CREATE,1,173,2020,School
CREATE,1,174,2020,School
CREATE,1,175,2020,School
CREATE,1,176,2020,School
CREATE,1,177,2020,School
CREATE,1,178,2020,School
CREATE,1,179,2020,School
CREATE,1,180,2020,School
CREATE,1,181,2020,School
CREATE,1,182,2020,School
CREATE,1,183,2020,School
CREATE,1,184,2020,School
CREATE,1,185,2020,School
CREATE,1,186,2020,School
CREATE,1,187,2020,School
CREATE,1,188,2020,School
CREATE,1,189,2020,School
CREATE,1,190,2020,School
CREATE,1,250,2020,School
CREATE,1,251,2020,School
CREATE,1,393,2020,School
CREATE,1,12,2020,School
CREATE,1,33,2020,School
CREATE,1,395,2020,School
CREATE,1,115,2020,School
CREATE,1,482,2020,School
CREATE,1,496,2020,School
CREATE,1,483,2020,School
CREATE,1,411,2020,School
CREATE,1,421,2020,School
CREATE,1,468,2020,School
CREATE,1,469,2020,School
CREATE,1,446,2020,School
CREATE,1,2,2021,School
CREATE,1,4,2021,School
CREATE,1,5,2021,School
CREATE,1,6,2021,School
CREATE,1,7,2021,School
CREATE,1,8,2021,School
CREATE,1,9,2021,School
CREATE,1,12,2021,School
CREATE,1,13,2021,School
CREATE,1,14,2021,School
CREATE,1,15,2021,School
CREATE,1,17,2021,School
CREATE,1,18,2021,School
CREATE,1,19,2021,School
CREATE,1,23,2021,School
CREATE,1,26,2021,School
CREATE,1,27,2021,School
CREATE,1,28,2021,School
CREATE,1,29,2021,School
CREATE,1,30,2021,School
CREATE,1,32,2021,School
CREATE,1,33,2021,School
CREATE,1,35,2021,School
CREATE,1,36,2021,School
CREATE,1,43,2021,School
CREATE,1,44,2021,School
CREATE,1,45,2021,School
CREATE,1,46,2021,School
CREATE,1,47,2021,School
CREATE,1,51,2021,School
CREATE,1,52,2021,School
CREATE,1,53,2021,School
CREATE,1,54,2021,School
CREATE,1,55,2021,School
CREATE,1,57,2021,School
CREATE,1,58,2021,School
CREATE,1,59,2021,School
CREATE,1,60,2021,School
CREATE,1,61,2021,School
CREATE,1,62,2021,School
CREATE,1,64,2021,School
CREATE,1,65,2021,School
CREATE,1,101,2021,School
CREATE,1,102,2021,School
CREATE,1,103,2021,School
CREATE,1,104,2021,School
CREATE,1,105,2021,School
CREATE,1,106,2021,School
CREATE,1,107,2021,School
CREATE,1,109,2021,School
CREATE,1,110,2021,School
CREATE,1,111,2021,School
CREATE,1,112,2021,School
CREATE,1,113,2021,School
CREATE,1,114,2021,School
CREATE,1,116,2021,School
CREATE,1,117,2021,School
CREATE,1,118,2021,School
CREATE,1,119,2021,School
CREATE,1,121,2021,School
CREATE,1,122,2021,School
CREATE,1,123,2021,School
CREATE,1,124,2021,School
CREATE,1,125,2021,School
CREATE,1,126,2021,School
CREATE,1,127,2021,School
CREATE,1,129,2021,School
CREATE,1,130,2021,School
CREATE,1,132,2021,School
CREATE,1,133,2021,School
CREATE,1,136,2021,School
CREATE,1,138,2021,School
CREATE,1,140,2021,School
CREATE,1,141,2021,School
CREATE,1,143,2021,School
CREATE,1,144,2021,School
CREATE,1,145,2021,School
CREATE,1,146,2021,School
CREATE,1,147,2021,School
CREATE,1,148,2021,School
CREATE,1,149,2021,School
CREATE,1,150,2021,School
CREATE,1,151,2021,School
CREATE,1,152,2021,School
CREATE,1,154,2021,School
CREATE,1,155,2021,School
CREATE,1,156,2021,School
CREATE,1,157,2021,School
CREATE,1,158,2021,School
CREATE,1,159,2021,School
CREATE,1,160,2021,School
CREATE,1,161,2021,School
CREATE,1,162,2021,School
CREATE,1,163,2021,School
CREATE,1,164,2021,School
CREATE,1,165,2021,School
CREATE,1,166,2021,School
CREATE,1,168,2021,School
CREATE,1,170,2021,School
CREATE,1,171,2021,School
CREATE,1,172,2021,School
CREATE,1,173,2021,School
CREATE,1,174,2021,School
CREATE,1,175,2021,School
CREATE,1,176,2021,School
CREATE,1,177,2021,School
CREATE,1,178,2021,School
CREATE,1,179,2021,School
CREATE,1,180,2021,School
CREATE,1,181,2021,School
CREATE,1,182,2021,School
CREATE,1,183,2021,School
CREATE,1,184,2021,School
CREATE,1,185,2021,School
CREATE,1,186,2021,School
CREATE,1,187,2021,School
CREATE,1,188,2021,School
CREATE,1,189,2021,School
CREATE,1,190,2021,School
CREATE,1,195,2021,School
CREATE,1,198,2021,School
CREATE,1,250,2021,School
CREATE,1,251,2021,School
CREATE,1,393,2021,School
CREATE,1,395,2021,School
CREATE,1,485,2021,School
CREATE,1,115,2021,School
CREATE,1,482,2021,School
CREATE,1,491,2021,School
CREATE,1,483,2021,School
CREATE,1,411,2021,School
CREATE,1,421,2021,School
CREATE,1,469,2021,School
CREATE,1,470,2021,School
CREATE,1,468,2021,School
CREATE,1,2,2022,School
CREATE,1,4,2022,School
CREATE,1,5,2022,School
CREATE,1,6,2022,School
CREATE,1,7,2022,School
CREATE,1,8,2022,School
CREATE,1,9,2022,School
CREATE,1,13,2022,School
CREATE,1,14,2022,School
CREATE,1,17,2022,School
CREATE,1,18,2022,School
CREATE,1,19,2022,School
CREATE,1,23,2022,School
CREATE,1,26,2022,School
CREATE,1,27,2022,School
CREATE,1,28,2022,School
CREATE,1,29,2022,School
CREATE,1,30,2022,School
CREATE,1,32,2022,School
CREATE,1,33,2022,School
CREATE,1,35,2022,School
CREATE,1,36,2022,School
CREATE,1,43,2022,School
CREATE,1,44,2022,School
CREATE,1,45,2022,School
CREATE,1,46,2022,School
CREATE,1,47,2022,School
CREATE,1,51,2022,School
CREATE,1,52,2022,School
CREATE,1,53,2022,School
CREATE,1,54,2022,School
CREATE,1,55,2022,School
CREATE,1,57,2022,School
CREATE,1,58,2022,School
CREATE,1,59,2022,School
CREATE,1,60,2022,School
CREATE,1,61,2022,School
CREATE,1,62,2022,School
CREATE,1,64,2022,School
CREATE,1,65,2022,School
CREATE,1,101,2022,School
CREATE,1,102,2022,School
CREATE,1,103,2022,School
CREATE,1,104,2022,School
CREATE,1,105,2022,School
CREATE,1,106,2022,School
CREATE,1,107,2022,School
CREATE,1,109,2022,School
CREATE,1,110,2022,School
CREATE,1,111,2022,School
CREATE,1,112,2022,School
CREATE,1,113,2022,School
CREATE,1,114,2022,School
CREATE,1,116,2022,School
CREATE,1,117,2022,School
CREATE,1,118,2022,School
CREATE,1,119,2022,School
CREATE,1,121,2022,School
CREATE,1,122,2022,School
CREATE,1,123,2022,School
CREATE,1,125,2022,School
CREATE,1,126,2022,School
CREATE,1,127,2022,School
CREATE,1,129,2022,School
CREATE,1,130,2022,School
CREATE,1,132,2022,School
CREATE,1,133,2022,School
CREATE,1,136,2022,School
CREATE,1,138,2022,School
CREATE,1,140,2022,School
CREATE,1,141,2022,School
CREATE,1,143,2022,School
CREATE,1,144,2022,School
CREATE,1,145,2022,School
CREATE,1,146,2022,School
CREATE,1,147,2022,School
CREATE,1,148,2022,School
CREATE,1,149,2022,School
CREATE,1,150,2022,School
CREATE,1,151,2022,School
CREATE,1,152,2022,School
CREATE,1,154,2022,School
CREATE,1,155,2022,School
CREATE,1,156,2022,School
CREATE,1,157,2022,School
CREATE,1,158,2022,School
CREATE,1,159,2022,School
CREATE,1,160,2022,School
CREATE,1,161,2022,School
CREATE,1,162,2022,School
CREATE,1,163,2022,School
CREATE,1,164,2022,School
CREATE,1,165,2022,School
CREATE,1,166,2022,School
CREATE,1,168,2022,School
CREATE,1,170,2022,School
CREATE,1,171,2022,School
CREATE,1,172,2022,School
CREATE,1,173,2022,School
CREATE,1,174,2022,School
CREATE,1,175,2022,School
CREATE,1,176,2022,School
CREATE,1,177,2022,School
CREATE,1,178,2022,School
CREATE,1,179,2022,School
CREATE,1,180,2022,School
CREATE,1,181,2022,School
CREATE,1,182,2022,School
CREATE,1,183,2022,School
CREATE,1,184,2022,School
CREATE,1,185,2022,School
CREATE,1,186,2022,School
CREATE,1,187,2022,School
CREATE,1,188,2022,School
CREATE,1,189,2022,School
CREATE,1,190,2022,School
CREATE,1,195,2022,School
CREATE,1,198,2022,School
CREATE,1,250,2022,School
CREATE,1,251,2022,School
CREATE,1,393,2022,School
CREATE,1,12,2022,School
CREATE,1,15,2022,School
CREATE,1,395,2022,School
CREATE,1,199,2022,School
CREATE,2,113,2017,School
CREATE,2,114,2017,School
CREATE,2,124,2017,School
CREATE,2,126,2017,School
CREATE,2,127,2017,School
CREATE,2,129,2017,School
CREATE,2,130,2017,School
CREATE,2,132,2017,School
CREATE,2,145,2017,School
CREATE,2,149,2017,School
CREATE,2,162,2017,School
CREATE,2,170,2017,School
CREATE,2,171,2017,School
CREATE,2,172,2017,School
CREATE,2,173,2017,School
CREATE,2,175,2017,School
CREATE,2,176,2017,School
CREATE,2,178,2017,School
CREATE,2,186,2017,School
CREATE,2,188,2017,School
CREATE,2,189,2017,School
CREATE,2,190,2017,School
CREATE,2,118,2017,School
CREATE,2,125,2017,School
CREATE,2,26,2017,School
CREATE,2,26,2018,School
CREATE,2,101,2019,School
CREATE,2,102,2019,School
CREATE,2,104,2019,School
CREATE,2,105,2019,School
CREATE,2,106,2019,School
CREATE,2,107,2019,School
CREATE,2,109,2019,School
CREATE,2,111,2019,School
CREATE,2,112,2019,School
CREATE,2,113,2019,School
CREATE,2,114,2019,School
CREATE,2,116,2019,School
CREATE,2,117,2019,School
CREATE,2,118,2019,School
CREATE,2,122,2019,School
CREATE,2,123,2019,School
CREATE,2,124,2019,School
CREATE,2,125,2019,School
CREATE,2,126,2019,School
CREATE,2,129,2019,School
CREATE,2,130,2019,School
CREATE,2,132,2019,School
CREATE,2,133,2019,School
CREATE,2,136,2019,School
CREATE,2,138,2019,School
CREATE,2,140,2019,School
CREATE,2,141,2019,School
CREATE,2,143,2019,School
CREATE,2,144,2019,School
CREATE,2,145,2019,School
CREATE,2,146,2019,School
CREATE,2,147,2019,School
CREATE,2,148,2019,School
CREATE,2,149,2019,School
CREATE,2,151,2019,School
CREATE,2,152,2019,School
CREATE,2,154,2019,School
CREATE,2,155,2019,School
CREATE,2,157,2019,School
CREATE,2,158,2019,School
CREATE,2,161,2019,School
CREATE,2,162,2019,School
CREATE,2,164,2019,School
CREATE,2,165,2019,School
CREATE,2,166,2019,School
CREATE,2,168,2019,School
CREATE,2,170,2019,School
CREATE,2,171,2019,School
CREATE,2,172,2019,School
CREATE,2,173,2019,School
CREATE,2,174,2019,School
CREATE,2,175,2019,School
CREATE,2,176,2019,School
CREATE,2,177,2019,School
CREATE,2,178,2019,School
CREATE,2,179,2019,School
CREATE,2,181,2019,School
CREATE,2,183,2019,School
CREATE,2,186,2019,School
CREATE,2,187,2019,School
CREATE,2,188,2019,School
CREATE,2,189,2019,School
CREATE,2,190,2019,School
CREATE,2,127,2019,School
CREATE,2,156,2019,School
CREATE,2,180,2019,School
CREATE,2,26,2019,School
CREATE,2,101,2020,School
CREATE,2,102,2020,School
CREATE,2,104,2020,School
CREATE,2,105,2020,School
CREATE,2,106,2020,School
CREATE,2,107,2020,School
CREATE,2,109,2020,School
